F3E07,Number of Records,Unitid,private
2358223,1,173142,0
4190161,1,173160,0
179267,1,173179,0
10432797,1,173258,0
6162255,1,173300,0
2505427,1,173328,0
1143015,1,173452,0
523395,1,173470,1
3537203,1,173489,1
56601247,1,173629,1
6851005,1,173647,0
6573895,1,173665,0
32333,1,173683,0
241742,1,173726,1
10016171,1,173744,1
26464218,1,173887,1
1303715,1,173896,0
7719000,1,173902,0
86438284,1,173939,1
0,1,173957,0
684401,1,173966,0
25215674,1,173984,1
3285835,1,174118,1
833941,1,174127,0
5779283,1,174154,1
3936684,1,174190,1
156583,1,174206,0
62672009,1,174279,1
1603035,1,174321,1
3517335,1,174385,1
11869196,1,174394,1
1312184,1,174437,0
2320467,1,174482,1
4650700,1,174491,0
1223533,1,174507,0
127368,1,174525,0
4614415,1,174747,0
4740261,1,174792,0
2578551,1,174817,0
11810094,1,174844,0
1593870,1,174862,0
3484758,1,174899,0
18271407,1,174914,0
1418732,1,174978,1
3875968,1,175005,0
63752764,1,175014,1
211591,1,175120,0
266832,1,175139,0
1416992,1,175227,0
1446192,1,175281,0
2112573,1,175421,0
385193,1,175430,0
760448,1,175494,1
310182,1,175591,1
358539,1,175607,1
67518,1,175698,1
279410,1,175722,1
3299469,1,175980,0
6534447,1,176053,0
492817,1,176062,1
736472,1,176318,0
0,1,176336,0
1618504,1,176390,1
1377565,1,176406,0
106158,1,176451,0
3046125,1,176479,0
4144730,1,176549,1
137291,1,176600,0
300750,1,176619,0
1834497,1,176628,0
7808919,1,176637,1
622416,1,176664,0
595263,1,176716,1
98156,1,176770,0
247352,1,176789,0
383737,1,176910,0
1397169,1,176947,0
254361,1,176992,1
1228597,1,177038,0
5197006,1,177065,0
309643,1,177083,0
1413322,1,177092,0
260025,1,177117,0
1053155,1,177126,0
997431,1,177144,0
4022868,1,177214,0
615939,1,177278,0
1506269,1,177287,1
19045241,1,177302,1
2282487,1,177339,0
2431449,1,177418,0
327318,1,177427,0
824801,1,177542,0
8632356,1,177579,1
232285,1,177588,1
959149,1,177603,1
451494,1,177685,1
2453294,1,177719,0
961449,1,177746,0
1122977,1,177816,0
5204595,1,177834,0
0,1,177931,0
13857576,1,177968,0
2595643,1,177986,0
1867226,1,178004,1
4271124,1,178059,0
1098519,1,178077,1
1206477,1,178110,1
2265524,1,178183,1
783600,1,178208,0
8753968,1,178226,1
2138418,1,178244,0
978951,1,178262,1
15173372,1,178305,1
373955,1,178314,1
1624051,1,178350,1
1090000,1,178369,0
2360635,1,178484,1
355477,1,178518,0
