Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Grcohrt,Number of Records,Pgrcohrt,Ret Nmf,Ret Pcf,Rrftcta,Rrftct,Rrftex,Stufacr,Ugentern,Unitid (Ef2013D),Unitid
14274,21424,19438,14274,21424,19438,17424,24574,22588,658,1,74,377,64,586,586,0,16,889,107983,107983
11227,20959,18019,11227,20959,18019,12667,22399,19459,207,1,60,120,57,209,209,0,21,346,107992,107992
9116,17628,16498,9116,17628,16498,14660,23172,22042,1265,1,56,488,62,785,785,0,18,2262,108092,108092
25226,36386,37828,25226,36386,37828,25226,36386,37828,667,1,34,475,71,669,669,0,16,1943,108232,108232
22431,29926,,22431,29926,,22431,29926,,42,1,81,0,,0,0,0,17,52,108250,108250
7273,18433,,7273,18433,,12385,23545,,195,1,9,92,62,148,148,0,24,2186,108667,108667
7331,19154,,7331,19154,,12651,24474,,917,1,31,647,72,898,898,0,25,2963,108807,108807
37520,52460,,37520,52460,,37520,52460,,134,1,100,69,63,109,109,0,13,134,108852,108852
7080,17682,,7080,17682,,13176,23778,,1434,1,17,811,68,1188,1188,0,28,8412,109208,109208
7421,16648,,7421,16648,,11981,21208,,978,1,27,669,74,901,901,0,27,3605,109350,109350
46972,60502,,46972,60502,,46972,60502,,164,1,43,127,80,158,159,1,9,382,109651,109651
38242,49404,45996,38242,49404,45996,38242,49404,45996,1217,1,65,1026,82,1247,1247,0,14,1883,109785,109785
6228,15404,,6228,15404,,11912,21088,,1578,1,33,952,71,1336,1336,0,31,4773,109819,109819
6682,17805,,6682,17805,,10978,22101,,265,1,20,124,54,231,231,0,29,1298,109907,109907
13420,20220,,13420,20220,,13420,20220,,63,1,89,26,93,28,28,0,6,71,110060,110060
38127,49287,46624,38127,49287,46624,38127,49287,46624,900,1,74,777,85,914,914,0,17,1222,110097,110097
25976,33592,,25976,33592,,25976,33592,,33,1,30,51,77,66,66,0,9,109,110185,110185
16690,23466,,16690,23466,,16690,23466,,158,1,100,0,,0,0,0,20,158,110219,110219
6838,17800,,6838,17800,,11638,22600,,1299,1,39,667,70,948,948,0,25,3309,110246,110246
7793,19295,,7793,19295,,12133,23635,,1081,1,37,688,74,930,930,0,25,2925,110334,110334
34106,45264,42228,34106,45264,42228,34106,45264,42228,967,1,55,673,77,876,876,0,18,1762,110361,110361
46234,55444,56134,46234,55444,56134,46234,55444,56134,232,1,50,190,82,232,232,0,9,461,110370,110370
47136,58296,58755,47136,58296,58755,47136,58296,58755,248,1,97,255,97,264,264,0,3,255,110404,110404
41755,52915,52577,41755,52915,52577,41755,52915,52577,540,1,62,473,85,558,558,0,15,866,110413,110413
13122,24285,24285,13122,24285,24285,24282,35445,35445,4765,1,82,3348,92,3620,3620,0,21,5784,110422,110422
22705,34117,29986,22705,34117,29986,22705,34117,29986,25,1,5,3,75,4,4,0,13,523,110468,110468
11397,22737,21186,11397,22737,21186,22557,33897,32346,1323,1,61,963,74,1294,1294,0,24,2159,110486,110486
10883,22083,22433,10883,22083,22433,22043,33243,33593,1181,1,51,944,87,1082,1082,0,21,2335,110495,110495
10537,21466,20377,10537,21466,20377,21697,32626,31537,2319,1,50,2122,89,2390,2390,0,27,4611,110510,110510
10289,21104,22571,10289,21104,22571,21449,32264,33731,3169,1,54,2718,90,3021,3021,0,28,5839,110529,110529
11154,22116,22362,11154,22116,22362,22314,33276,33522,2316,1,56,2304,87,2659,2659,0,24,4123,110538,110538
10536,22931,21286,10536,22931,21286,21696,34091,32446,1460,1,31,898,79,1133,1133,0,23,4775,110547,110547
