Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Enrft,Enrpt,Enrtot,Number of Records,Unitid (Drvef2013),Unitid
7208,18224,,7208,18224,,12104,23120,,843,1783,2626,1,112561,112561
23462,34424,34424,23462,34424,34424,23462,34424,34424,285,29,314,1,112570,112570
5552,17108,,5552,17108,,9632,21188,,1896,5797,7693,1,112686,112686
12027,19006,,12027,19006,,17767,24746,,2153,4712,6865,1,112826,112826
7080,17682,,7080,17682,,13176,23778,,3333,10616,13949,1,113096,113096
5568,21324,,5568,21324,,8352,24108,,1991,3706,5697,1,113111,113111
7215,18375,,7215,18375,,12389,23549,,3837,5419,9256,1,113193,113193
6086,16986,,6086,16986,,11596,22496,,2099,6760,8859,1,113218,113218
7036,17836,,7036,17836,,12052,22852,,5079,10802,15881,1,113236,113236
7671,19146,,7671,19146,,14151,25626,,10774,12487,23261,1,113333,113333
15702,25918,,15702,25918,,15702,25918,,29,0,29,1,113537,113537
7193,18461,,7193,18461,,12513,23781,,3629,5630,9259,1,113573,113573
25862,37022,,25862,37022,,25862,37022,,119,62,181,1,113582,113582
12027,19006,,12027,19006,,17767,24746,,7690,12596,20286,1,113634,113634
46586,51104,58860,46586,51104,58860,46586,51104,58860,1603,544,2147,1,113698,113698
7206,18366,,7206,18366,,12146,23306,,7090,29516,36606,1,113856,113856
5552,17108,,5552,17108,,9632,21188,,7866,16130,23996,1,113980,113980
12216,18876,,12216,18876,,17900,24560,,2789,6422,9211,1,114266,114266
35429,49991,,35429,49991,,35429,49991,,3072,387,3459,1,114354,114354
35429,49991,,35429,49991,,35429,49991,,580,57,637,1,114390,114390
35429,49991,,35429,49991,,35429,49991,,205,9,214,1,114415,114415
6333,15383,15383,6333,15383,15383,11883,20933,20933,636,1146,1782,1,114433,114433
7664,19139,,7664,19139,,14144,25619,,5266,9548,14814,1,114716,114716
6938,16758,,6938,16758,,12578,22398,,7815,13529,21344,1,114789,114789
31701,42861,36991,31701,42861,36991,31701,42861,36991,2423,970,3393,1,114813,114813
7486,18975,,7486,18975,,12358,23847,,8440,15861,24301,1,114859,114859
7230,18390,,7231,18391,,12639,23799,,1855,3979,5834,1,114938,114938
5981,16641,,5981,16641,,10469,21129,,7164,8580,15744,1,115001,115001
,,,,,,,,,293,0,293,1,115010,115010
21130,34130,,21130,34130,,21130,34130,,1130,2097,3227,1,115083,115083
8013,21200,,8013,21200,,12045,25232,,4534,8183,12717,1,115126,115126
6087,16987,,6087,16987,,11597,22497,,6654,11964,18618,1,115296,115296
7280,18125,,7280,18125,,12644,23489,,3413,6026,9439,1,115393,115393
,,63860,,,63860,,,63860,805,2,807,1,115409,115409
19454,30774,,19454,30774,,19454,30774,,888,262,1150,1,115454,115454
19454,30774,,19454,30774,,19454,30774,,1342,449,1791,1,115472,115472
19454,30774,,19454,30774,,19454,30774,,1169,502,1671,1,115490,115490
19454,30774,,19454,30774,,19454,30774,,693,381,1074,1,115515,115515
19454,30774,,19454,30774,,19454,30774,,1110,393,1503,1,115533,115533
39005,50165,49041,39005,50165,49041,39005,50165,49041,827,516,1343,1,115728,115728
11116,22556,22556,11116,22556,22556,22276,33716,33716,7631,662,8293,1,115755,115755
