Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Number of Records,Unitid
11136,20136,,11136,20136,,18668,27668,,1,129367
35922,48170,48170,35922,48170,48170,35922,48170,48170,1,129525
11245,19945,,11245,19945,,11245,19945,,1,129534
6986,16586,,6986,16586,,14518,24118,,1,129543
33616,42514,,33616,42514,,33616,42514,,1,129686
8062,15070,,8062,15070,,15594,22602,,1,129695
9736,18374,,9736,18374,,9736,18374,,1,129729
7023,16005,,7023,16005,,14555,23537,,1,129756
33108,50738,46750,33108,50738,46750,33108,50738,46750,1,129774
6412,14412,,6412,14412,,14756,22756,,1,129808
41050,49200,50210,41050,49200,50210,41050,49200,50210,1,129941
9043,19341,,9043,19341,,16575,26873,,1,130004
8102,16280,,8102,16280,,15634,23812,,1,130040
17460,20960,,17460,20960,,17460,20960,,1,130110
22632,35637,,22632,35637,,22632,35637,,1,130174
26675,34679,37105,26675,34679,37105,26675,34679,37105,1,130183
7176,15600,,7176,15600,,14708,23132,,1,130217
43530,55050,55780,43530,55050,55780,43530,55050,55780,1,130226
40550,45510,53569,40550,45510,53569,40550,45510,53569,1,130253
36137,49923,49923,36137,49923,49923,36137,49923,49923,1,130314
8212,15900,,8212,15900,,15744,23432,,1,130396
23850,33750,,23850,33750,,23850,33750,,1,130448
11575,22990,22945,11575,22990,22945,23041,34456,34411,1,130493
50010,62310,62310,50010,62310,62310,50010,62310,62310,1,130590
